YEAR,LAND_CLASS,FEATURENO,FEATURE,LOWER_ESTIMATE,MEAN_ESTIMATE,UPPER_ESTIMATE,LAND_CLASS_AREA
1984,31s,_4,Line of Trees + Fence,0,0,0,1918.4
1984,31s,_5,Line of Trees,0,0,0,1918.4
1984,31s,_6,Bank/Grass Strip,0.08,1.03,2.12,1918.4
1984,31s,_7,Fence,4.19,11.19,19.38,1918.4
1984,32s,TOTAL,Total,7.66,12.26,18.56,3680.1
1984,32s,_1,Hedges,0,0.03,0.1,3680.1
1984,32s,_3,Wall,0.02,1.36,5.46,3680.1
1984,32s,_4,Line of Trees + Fence,0,0,0,3680.1
1984,32s,_5,Line of Trees,0,0,0,3680.1
1984,32s,_6,Bank/Grass Strip,0,0.2,0.92,3680.1
1984,32s,_7,Fence,5.91,9.95,14.66,3680.1
1984,3e,TOTAL,Total,98.08,114.44,130.45,15337.8
1984,3e,_1,Hedges,57.11,70.59,83.21,15337.8
1984,3e,_3,Wall,-0.24,1.04,3.04,15337.8
1984,3e,_4,Line of Trees + Fence,0.2,1.64,3.27,15337.8
1984,3e,_5,Line of Trees,3.31,6.85,11.02,15337.8
1984,3e,_6,Bank/Grass Strip,0.28,2.27,5.15,15337.8
1984,3e,_7,Fence,19.39,31.93,45.77,15337.8
1984,4e,TOTAL,Total,17.37,31.76,50.47,8044.4
1984,4e,_1,Hedges,8.06,17.35,27.43,8044.4
1984,4e,_3,Wall,0,3.43,8.6,8044.4
1984,4e,_4,Line of Trees + Fence,-1.08,0.49,3.99,8044.4
1984,4e,_5,Line of Trees,-0.19,7.56,17.71,8044.4
1984,4e,_6,Bank/Grass Strip,-0.09,1.03,2.05,8044.4
1984,4e,_7,Fence,1.54,8.31,14.88,8044.4
1984,5e,TOTAL,Total,13.48,17.19,21.37,2375.6
1984,5e,_1,Hedges,9.74,10.76,11.93,2375.6
1984,5e,_3,Wall,0.17,0.17,0.29,2375.6
1984,5e,_4,Line of Trees + Fence,0.04,0.55,0.95,2375.6
1984,5e,_5,Line of Trees,0.71,1.8,3.03,2375.6
1984,5e,_6,Bank/Grass Strip,0.23,0.38,0.55,2375.6
1984,5e,_7,Fence,1.73,3.66,5.46,2375.6
1984,5w,TOTAL,Total,35.55,44.71,53.35,4323.6
1984,5w,_1,Hedges,16.65,26.15,45.54,4323.6
1984,5w,_3,Wall,0,1.11,2.43,4323.6
1984,5w,_4,Line of Trees + Fence,-0.05,1.94,4.45,4323.6
1984,5w,_5,Line of Trees,1.15,3.34,5.98,4323.6
1984,5w,_6,Bank/Grass Strip,-0.76,-0.12,0.53,4323.6
1984,5w,_7,Fence,1.61,11.27,18.66,4323.6
1984,6e,TOTAL,Total,55.12,71.55,91.19,7176.6
1984,6e,_1,Hedges,46.88,59.23,70.34,7176.6
1984,6e,_3,Wall,0,0.79,1.84,7176.6
1984,6e,_4,Line of Trees + Fence,0.17,1.34,2.94,7176.6
1984,6e,_5,Line of Trees,1.75,4.24,7.22,7176.6
1984,6e,_6,Bank/Grass Strip,0.37,6.14,11.1,7176.6
1984,6e,_7,Fence,3.93,9.06,15.73,7176.6
1984,6w,TOTAL,Total,18.67,25.96,34.33,2686.6
1984,6w,_1,Hedges,8.19,12.82,19.75,2686.6
1984,6w,_3,Wall,0.19,1.73,3.89,2686.6
1984,6w,_4,Line of Trees + Fence,-0.24,1.04,2.77,2686.6
1984,6w,_5,Line of Trees,0.65,1.41,2.36,2686.6
1984,6w,_6,Bank/Grass Strip,0.68,2.95,5.49,2686.6
1984,6w,_7,Fence,3.37,6.92,11.23,2686.6
1984,7e,TOTAL,Total,6.36,9.26,12.04,1435.5
1984,7e,_1,Hedges,1.44,3.6,6.72,1435.5
1984,7e,_3,Wall,0.18,1.36,3.25,1435.5
1984,7e,_4,Line of Trees + Fence,-0.02,0.28,0.76,1435.5
1984,7e,_5,Line of Trees,0.03,0.49,1.18,1435.5
1984,7e,_6,Bank/Grass Strip,0.01,1.12,2.5,1435.5
1984,7e,_7,Fence,1.47,2.49,3.54,1435.5
1984,7s,TOTAL,Total,5,6.06,7.27,645.9
1984,7s,_1,Hedges,0.35,0.59,0.85,645.9
1984,7s,_3,Wall,1.11,1.81,2.5,645.9
1984,7s,_4,Line of Trees + Fence,-0.01,0.01,0.03,645.9
1984,7s,_5,Line of Trees,0.36,0.5,0.79,645.9
1984,7s,_6,Bank/Grass Strip,0.01,0.2,0.4,645.9
1984,7s,_7,Fence,1.93,2.94,4.08,645.9
1984,7w,TOTAL,Total,14.33,17.13,20.07,1395.5
1984,7w,_1,Hedges,0.29,3.87,8.08,1395.5
1984,7w,_3,Wall,0.87,2.93,5.5,1395.5
1984,7w,_4,Line of Trees + Fence,0,0.49,1.32,1395.5
1984,7w,_5,Line of Trees,0.05,0.3,0.67,1395.5
1984,7w,_6,Bank/Grass Strip,0.52,2.56,5.54,1395.5
1984,7w,_7,Fence,3.44,6.91,10.87,1395.5
1984,8e,TOTAL,Total,8.09,13.97,19.58,2812.1
1984,8e,_1,Hedges,1.59,6.04,11.56,2812.1
1984,8e,_3,Wall,0,0.46,1.35,2812.1
1984,8e,_4,Line of Trees + Fence,0.02,0.13,0.33,2812.1
1984,8e,_5,Line of Trees,0.09,0.59,1.33,2812.1
1984,8e,_6,Bank/Grass Strip,-0.04,0.56,1.71,2812.1
1984,8e,_7,Fence,3.11,6.27,10.19,2812.1
1984,9e,TOTAL,Total,55.51,67.41,78.19,10310.7
1984,9e,_1,Hedges,30.73,43.23,55.48,10310.7
1984,9e,_3,Wall,0.03,0.49,1.14,10310.7
1984,9e,_4,Line of Trees + Fence,0.04,0.7,1.52,10310.7
1984,9e,_5,Line of Trees,1.11,2.95,5.24,10310.7
1984,9e,_6,Bank/Grass Strip,-0.33,0.1,0.56,10310.7
1984,9e,_7,Fence,16.77,21.98,26.76,10310.7
